FILENAME,FILTER,ORBIT,POSANGLE,DITHER,EXPOSURESET,OBSDATE,OBSTIME,EXPOTIME,FLUXA,FLUXERRA,FLUXB,FLUXERRB,SKY,PRIMARY_X,PRIMARY_Y,SECONDARY_X,SECONDARY_Y,CHISQ
icdg05coq_flt.fits,F125W,5,0.0,0,0,2014-04-11,14:31:14,88.435623,78583.71875,122.53663635253906,193.4178924560547,2.5275142192840576,0.8879909515380859,134.90623474121094,161.3959197998047,139.90859985351562,158.1015625,0.941298246383667
icdg05cpq_flt.fits,F125W,5,0.0,0,0,2014-04-11,14:33:01,88.435623,78846.5546875,122.5905990600586,192.24562072753906,2.525509834289551,0.783782958984375,134.9071807861328,161.39212036132812,139.89297485351562,158.0984344482422,0.8604110479354858
icdg05cqq_flt.fits,F125W,5,0.0,0,0,2014-04-11,14:34:48,88.435623,78984.8125,122.47755432128906,193.3677215576172,2.539714813232422,0.6944713592529297,134.90802001953125,161.38479614257812,139.89218139648438,158.0859375,1.033064365386963
icdg05cvq_flt.fits,F125W,5,0.0,1,2,2014-04-11,14:42:44,88.435623,79160.4453125,123.16775512695312,199.5902557373047,2.592174530029297,0.6794548034667969,145.01307678222656,161.31857299804688,149.9250030517578,158.0187530517578,1.3080129623413086
icdg05cwq_flt.fits,F125W,5,0.0,1,2,2014-04-11,14:44:31,88.435623,79387.34375,123.27236938476562,196.66775512695312,2.574753761291504,0.6248035430908203,145.0087127685547,161.3252716064453,149.94296264648438,158.00234985351562,1.0161739587783813
icdg05cxq_flt.fits,F125W,5,0.0,1,2,2014-04-11,14:46:18,88.435623,79315.0390625,123.12285614013672,193.51052856445312,2.5502593517303467,0.6103782653808594,145.00770568847656,161.32078552246094,149.95547485351562,157.9968719482422,1.1175378561019897
icdg05d0q_flt.fits,F125W,5,0.0,2,4,2014-04-11,14:52:28,88.435623,78472.6953125,119.90119171142578,188.22459411621094,2.5608463287353516,0.7096033096313477,134.84996032714844,172.68209838867188,139.7624969482422,169.4250030517578,1.3066562414169312
icdg05d1q_flt.fits,F125W,5,0.0,2,4,2014-04-11,14:54:15,88.435623,78733.625,120.06593322753906,187.40512084960938,2.544738292694092,0.6949424743652344,134.8459930419922,172.67913818359375,139.7703094482422,169.41952514648438,1.000373363494873
icdg05d2q_flt.fits,F125W,5,0.0,2,4,2014-04-11,14:56:02,88.435623,78734.3125,119.91043853759766,187.42884826660156,2.546050786972046,0.6380319595336914,134.8440399169922,172.67701721191406,139.7882843017578,169.43594360351562,1.2171382904052734
icdg05d6q_flt.fits,F125W,5,0.0,3,6,2014-04-11,15:03:58,88.435623,78777.203125,122.60084533691406,185.21775817871094,2.4501190185546875,0.617919921875,144.97669982910156,172.63885498046875,149.9773406982422,169.38436889648438,1.1406959295272827
