FILENAME,FILTER,ORBIT,POSANGLE,DITHER,EXPOSURESET,OBSDATE,OBSTIME,EXPOTIME,FLUXA,FLUXERRA,FLUXERRB,FLUXB,SKY,PRIMARY_X,PRIMARY_Y,SECONDARY_X,SECONDARY_Y,CHISQ
icdg03bxq_flt.fits,F160W,3,0.0,3,7,2014-04-11,12:00:48,88.435623,60942.6953125,52.65705490112305,3.305560350418091,361.48333740234375,0.6624579429626465,144.88612365722656,172.87725830078125,149.84921264648438,169.63436889648438,51.200958251953125
icdg04c2q_flt.fits,F160W,4,1.0,0,1,2014-04-11,13:00:08,88.435623,60362.875,53.900550842285156,3.268117904663086,349.2222595214844,0.8363914489746094,141.5130157470703,159.26071166992188,144.72891235351562,153.9460906982422,58.106353759765625
icdg04c4q_flt.fits,F160W,4,1.0,0,1,2014-04-11,13:01:55,88.435623,60334.52734375,53.948829650878906,3.2769224643707275,354.0863952636719,0.8388509750366211,141.5105438232422,159.25958251953125,144.7265625,153.9343719482422,59.67449188232422
icdg04c5q_flt.fits,F160W,4,1.0,0,1,2014-04-11,13:03:42,88.435623,60466.87890625,53.65716552734375,3.2831766605377197,352.27392578125,0.8060593605041504,141.512939453125,159.246826171875,144.7296905517578,153.9367218017578,57.83108901977539
icdg04c9q_flt.fits,F160W,4,1.0,1,3,2014-04-11,13:11:38,88.435623,59912.1953125,51.00474548339844,3.3692164421081543,354.6959533691406,0.7555131912231445,151.62753295898438,159.17376708984375,154.83749389648438,153.87890625,54.321624755859375
icdg04caq_flt.fits,F160W,4,1.0,1,3,2014-04-11,13:13:25,88.435623,59583.94921875,51.04019546508789,3.3540852069854736,352.064697265625,0.8162541389465332,151.62530517578125,159.16090393066406,154.83438110351562,153.87109375,56.52931213378906
icdg04ceq_flt.fits,F160W,4,1.0,2,5,2014-04-11,13:21:22,88.435623,62039.37109375,54.1470947265625,3.3452024459838867,339.9180603027344,0.5951371192932129,141.47918701171875,170.51332092285156,144.7062530517578,165.1804656982422,41.95036697387695
icdg04cfq_flt.fits,F160W,4,1.0,2,5,2014-04-11,13:23:09,88.435623,62376.43359375,54.42489242553711,3.3377532958984375,341.44390869140625,0.5854954719543457,141.4650421142578,170.51986694335938,144.6875,165.17343139648438,41.04755783081055
icdg04cgq_flt.fits,F160W,4,1.0,2,5,2014-04-11,13:24:56,88.435623,62218.09375,54.42039489746094,3.340404987335205,338.6957092285156,0.6170573234558105,141.46690368652344,170.51321411132812,144.6875,165.17813110351562,41.60200119018555
icdg04ckq_flt.fits,F160W,4,1.0,3,7,2014-04-11,13:32:52,88.435623,59522.43359375,53.152976989746094,3.2533295154571533,359.52935791015625,0.8393077850341797,151.594970703125,170.48707580566406,154.79061889648438,165.1867218017578,50.02062225341797
