FILENAME,FILTER,ORBIT,POSANG,DITHER,EXPOSURE_SET,OBS_DATE,OBS_TIME,EXPOSURE_TIME,XOFF,YOFF
icdg05d5q_flt.fits,F160W,5,202.0,2,5,2014-04-11,15:01:29,88.435623,-10.19610595703125,0.01605224609375
icdg05d6q_flt.fits,F125W,5,202.0,3,6,2014-04-11,15:03:58,88.435623,-0.0640106201171875,-0.0203094482421875
icdg05d7q_flt.fits,F125W,5,202.0,3,6,2014-04-11,15:05:45,88.435623,-0.0614166259765625,-0.036590576171875
icdg05d8q_flt.fits,F125W,5,202.0,3,6,2014-04-11,15:07:32,88.435623,-0.0629425048828125,-0.005889892578125
icdg05d9q_flt.fits,F160W,5,202.0,3,7,2014-04-11,15:09:25,88.435623,-0.073272705078125,-0.0289154052734375
icdg05daq_flt.fits,F160W,5,202.0,3,7,2014-04-11,15:11:12,88.435623,-0.06182861328125,-0.0237579345703125
icdg05dbq_flt.fits,F160W,5,202.0,3,7,2014-04-11,15:12:59,88.435623,-0.0711517333984375,-0.02630615234375
icdg06ddq_flt.fits,F125W,6,227.0,0,0,2014-04-11,16:11:33,88.435623,-3.35174560546875,-13.6954345703125
icdg06deq_flt.fits,F125W,6,227.0,0,0,2014-04-11,16:13:20,88.435623,-3.376556396484375,-13.707901000976562
icdg06dfq_flt.fits,F125W,6,227.0,0,0,2014-04-11,16:15:07,88.435623,-3.37542724609375,-13.703536987304688
icdg06dgq_flt.fits,F160W,6,227.0,0,1,2014-04-11,16:17:00,88.435623,-3.4494476318359375,-13.687210083007812
icdg06diq_flt.fits,F160W,6,227.0,0,1,2014-04-11,16:18:47,88.435623,-3.4730682373046875,-13.685272216796875
icdg06djq_flt.fits,F160W,6,227.0,0,1,2014-04-11,16:20:34,88.435623,-3.4825439453125,-13.70196533203125
icdg06dkq_flt.fits,F125W,6,227.0,1,2,2014-04-11,16:23:03,88.435623,6.7677764892578125,-13.738677978515625
icdg06dlq_flt.fits,F125W,6,227.0,1,2,2014-04-11,16:24:50,88.435623,6.765556335449219,-13.747406005859375
icdg06dmq_flt.fits,F125W,6,227.0,1,2,2014-04-11,16:26:37,88.435623,6.7701873779296875,-13.750244140625
icdg06dnq_flt.fits,F160W,6,227.0,1,3,2014-04-11,16:28:30,88.435623,6.6800079345703125,-13.759109497070312
icdg06doq_flt.fits,F160W,6,227.0,1,3,2014-04-11,16:30:17,88.435623,6.674140930175781,-13.764541625976562
icdg06dpq_flt.fits,F125W,6,227.0,2,4,2014-04-11,16:32:47,88.435623,-3.4633941650390625,-2.438995361328125
icdg06dqq_flt.fits,F125W,6,227.0,2,4,2014-04-11,16:34:34,88.435623,-3.4682769775390625,-2.4552001953125
icdg06drq_flt.fits,F125W,6,227.0,2,4,2014-04-11,16:36:21,88.435623,-3.4286041259765625,-2.4525146484375
icdg06dsq_flt.fits,F160W,6,227.0,2,5,2014-04-11,16:38:14,88.435623,-3.53765869140625,-2.4035186767578125
icdg06dtq_flt.fits,F160W,6,227.0,2,5,2014-04-11,16:40:01,88.435623,-3.5331573486328125,-2.383026123046875
icdg06duq_flt.fits,F160W,6,227.0,2,5,2014-04-11,16:41:48,88.435623,-3.5325164794921875,-2.4070892333984375
icdg06dvq_flt.fits,F125W,6,227.0,3,6,2014-04-11,16:44:17,88.435623,6.7200927734375,-2.4807586669921875
icdg06dwq_flt.fits,F125W,6,227.0,3,6,2014-04-11,16:46:04,88.435623,6.710968017578125,-2.4755096435546875
icdg06dxq_flt.fits,F125W,6,227.0,3,6,2014-04-11,16:47:51,88.435623,6.714759826660156,-2.4689483642578125
icdg06dyq_flt.fits,F160W,6,227.0,3,7,2014-04-11,16:49:44,88.435623,6.638763427734375,-2.4084014892578125
icdg06dzq_flt.fits,F160W,6,227.0,3,7,2014-04-11,16:51:31,88.435623,6.6490478515625,-2.3922882080078125
icdg06e0q_flt.fits,F160W,6,227.0,3,7,2014-04-11,16:53:18,88.435623,6.651092529296875,-2.3984375
