file name,orbit,exposure,filter,date-obs,time-obs,angle,dither
icdg11wjq_flt.fits,11,56,F160W,2013-10-16,22:38:35,101.0005,8
icdg11wkq_flt.fits,11,56,F160W,2013-10-16,22:39:08,101.0005,8
icdg11wlq_flt.fits,11,56,F160W,2013-10-16,22:39:41,101.0005,8
icdg11wmq_flt.fits,11,56,F160W,2013-10-16,22:40:14,101.0005,8
icdg11wnq_flt.fits,11,57,F125W,2013-10-16,22:40:53,101.0005,9
icdg11woq_flt.fits,11,57,F125W,2013-10-16,22:41:41,101.0005,9
icdg11wpq_flt.fits,11,57,F125W,2013-10-16,22:42:29,101.0005,9
icdg11wqq_flt.fits,11,57,F125W,2013-10-16,22:43:17,101.0005,9
icdg11wrq_flt.fits,11,58,F160W,2013-10-16,22:44:11,101.0005,10
icdg11wsq_flt.fits,11,58,F160W,2013-10-16,22:44:44,101.0005,10
icdg11wtq_flt.fits,11,58,F160W,2013-10-16,22:45:17,101.0005,10
icdg11wuq_flt.fits,11,58,F160W,2013-10-16,22:45:50,101.0005,10
icdg11wvq_flt.fits,11,58,F160W,2013-10-16,22:46:23,101.0005,10
icdg11wwq_flt.fits,11,59,F125W,2013-10-16,22:47:02,101.0005,11
icdg11wxq_flt.fits,11,59,F125W,2013-10-16,22:47:50,101.0005,11
icdg11wyq_flt.fits,11,59,F125W,2013-10-16,22:48:38,101.0005,11
icdg11wzq_flt.fits,11,59,F125W,2013-10-16,22:49:26,101.0005,11
icdg11x0q_flt.fits,11,60,F160W,2013-10-16,22:50:20,101.0005,12
icdg11x1q_flt.fits,11,60,F160W,2013-10-16,22:50:53,101.0005,12
icdg11x2q_flt.fits,11,60,F160W,2013-10-16,22:51:26,101.0005,12
icdg11x3q_flt.fits,11,60,F160W,2013-10-16,22:51:59,101.0005,12
icdg11x4q_flt.fits,11,60,F160W,2013-10-16,22:52:32,101.0005,12
icdg11x5q_flt.fits,11,61,F125W,2013-10-16,22:53:11,101.0005,13
icdg11x6q_flt.fits,11,61,F125W,2013-10-16,22:53:59,101.0005,13
icdg11x7q_flt.fits,11,61,F125W,2013-10-16,22:54:47,101.0005,13
icdg11x8q_flt.fits,11,61,F125W,2013-10-16,22:55:35,101.0005,13
icdg12xaq_flt.fits,12,61,F125W,2013-10-16,23:51:55,129.0002,1
icdg12xbq_flt.fits,12,61,F125W,2013-10-16,23:52:43,129.0002,1
icdg12xcq_flt.fits,12,61,F125W,2013-10-16,23:53:31,129.0002,1
icdg12xdq_flt.fits,12,61,F125W,2013-10-16,23:54:19,129.0002,1
icdg12xeq_flt.fits,12,62,F160W,2013-10-16,23:55:13,129.0002,2
icdg12xfq_flt.fits,12,62,F160W,2013-10-16,23:55:46,129.0002,2
icdg12xgq_flt.fits,12,62,F160W,2013-10-16,23:56:19,129.0002,2
icdg12xhq_flt.fits,12,62,F160W,2013-10-16,23:56:52,129.0002,2
icdg12xiq_flt.fits,12,62,F160W,2013-10-16,23:57:25,129.0002,2
icdg12xjq_flt.fits,12,63,F125W,2013-10-16,23:58:04,129.0002,3
icdg12xkq_flt.fits,12,63,F125W,2013-10-16,23:58:52,129.0002,3
icdg12xlq_flt.fits,12,63,F125W,2013-10-16,23:59:40,129.0002,3
icdg12xmq_flt.fits,12,63,F125W,2013-10-17,00:00:28,129.0002,3
icdg12xnq_flt.fits,12,64,F160W,2013-10-17,00:01:22,129.0002,4
icdg12xoq_flt.fits,12,64,F160W,2013-10-17,00:01:55,129.0002,4
icdg12xpq_flt.fits,12,64,F160W,2013-10-17,00:02:28,129.0002,4
icdg12xqq_flt.fits,12,64,F160W,2013-10-17,00:03:01,129.0002,4
icdg12xrq_flt.fits,12,64,F160W,2013-10-17,00:03:34,129.0002,4
icdg12xsq_flt.fits,12,65,F125W,2013-10-17,00:04:13,129.0002,5
icdg12xtq_flt.fits,12,65,F125W,2013-10-17,00:05:01,129.0002,5
icdg12xuq_flt.fits,12,65,F125W,2013-10-17,00:05:49,129.0002,5
icdg12xvq_flt.fits,12,65,F125W,2013-10-17,00:06:37,129.0002,5
icdg12xwq_flt.fits,12,66,F160W,2013-10-17,00:07:31,129.0002,6
icdg12xxq_flt.fits,12,66,F160W,2013-10-17,00:08:04,129.0002,6
icdg12xyq_flt.fits,12,66,F160W,2013-10-17,00:08:37,129.0002,6
icdg12xzq_flt.fits,12,66,F160W,2013-10-17,00:09:10,129.0002,6
icdg12y0q_flt.fits,12,66,F160W,2013-10-17,00:09:43,129.0002,6
icdg12y1q_flt.fits,12,67,F125W,2013-10-17,00:10:22,129.0002,7
icdg12y2q_flt.fits,12,67,F125W,2013-10-17,00:11:10,129.0002,7
icdg12y3q_flt.fits,12,67,F125W,2013-10-17,00:11:58,129.0002,7
icdg12y4q_flt.fits,12,67,F125W,2013-10-17,00:12:46,129.0002,7
icdg12y5q_flt.fits,12,68,F160W,2013-10-17,00:13:40,129.0002,8
icdg12y6q_flt.fits,12,68,F160W,2013-10-17,00:14:13,129.0002,8
icdg12y7q_flt.fits,12,68,F160W,2013-10-17,00:14:46,129.0002,8
icdg12y8q_flt.fits,12,68,F160W,2013-10-17,00:15:19,129.0002,8
icdg12y9q_flt.fits,12,68,F160W,2013-10-17,00:15:52,129.0002,8
icdg12yaq_flt.fits,12,69,F125W,2013-10-17,00:16:31,129.0002,9
icdg12ybq_flt.fits,12,69,F125W,2013-10-17,00:17:19,129.0002,9
icdg12ycq_flt.fits,12,69,F125W,2013-10-17,00:18:07,129.0002,9
icdg12ydq_flt.fits,12,69,F125W,2013-10-17,00:18:55,129.0002,9
icdg12yeq_flt.fits,12,70,F160W,2013-10-17,00:19:49,129.0002,10
