file name,filter,orbit,Pos Angle,dither,exposure set,obs date,obs time,exposure time,XOFF,YOFF
icdg12ycq_myfits.fits,F125W,12,129.0,0,8,2013-10-17,00:18:07,29.663755,15.931556701660154,8.33197021484375
icdg12ydq_myfits.fits,F125W,12,129.0,0,8,2013-10-17,00:18:55,29.663755,15.948753356933596,8.329505920410156
icdg12yeq_myfits.fits,F160W,12,129.0,0,9,2013-10-17,00:19:49,14.970785000000001,16.002395629882812,8.356475830078125
icdg12yfq_myfits.fits,F160W,12,129.0,0,9,2013-10-17,00:20:22,14.970785000000001,16.012321472167972,8.360443115234375
icdg12ygq_myfits.fits,F160W,12,129.0,0,9,2013-10-17,00:20:55,14.970785000000001,16.003952026367188,8.344596862792969
icdg12yhq_myfits.fits,F160W,12,129.0,0,9,2013-10-17,00:21:28,14.970785000000001,16.019828796386722,8.371711730957031
icdg12yiq_myfits.fits,F160W,12,129.0,0,9,2013-10-17,00:22:01,14.970785000000001,16.014114379882812,8.362495422363281
icdg12yjq_myfits.fits,F125W,12,129.0,0,10,2013-10-17,00:22:40,29.663755,15.885818481445312,8.272933959960938
icdg12ykq_myfits.fits,F125W,12,129.0,0,10,2013-10-17,00:23:28,29.663755,15.79058837890625,8.220108032226562
icdg12ylq_myfits.fits,F125W,12,129.0,0,10,2013-10-17,00:24:16,29.663755,15.94586944580078,8.328620910644531
icdg12ymq_myfits.fits,F125W,12,129.0,0,10,2013-10-17,00:25:04,29.663755,15.96038818359375,8.344703674316406
icdg12ynq_myfits.fits,F160W,12,129.0,0,11,2013-10-17,00:25:58,14.970785000000001,15.899398803710938,8.250595092773438
icdg12yoq_myfits.fits,F160W,12,129.0,0,11,2013-10-17,00:26:31,14.970785000000001,16.023139953613278,8.390510559082031
icdg12ypq_myfits.fits,F160W,12,129.0,0,11,2013-10-17,00:27:04,14.970785000000001,16.020050048828125,8.375778198242188
icdg12yqq_myfits.fits,F160W,12,129.0,0,11,2013-10-17,00:27:37,14.970785000000001,16.01043701171875,8.366920471191406
icdg12yrq_myfits.fits,F160W,12,129.0,0,11,2013-10-17,00:28:10,14.970785000000001,16.035346984863278,8.389068603515625
icdg12ysq_myfits.fits,F125W,12,129.0,0,12,2013-10-17,00:28:49,29.663755,15.93120574951172,8.339912414550781
icdg12ytq_myfits.fits,F125W,12,129.0,0,12,2013-10-17,00:29:37,29.663755,15.965530395507812,8.35479736328125
icdg12yuq_myfits.fits,F125W,12,129.0,0,12,2013-10-17,00:30:25,29.663755,15.942497253417967,8.339813232421875
icdg12yvq_myfits.fits,F125W,12,129.0,0,12,2013-10-17,00:31:13,29.663755,15.961540222167967,8.351318359375
