file name,filter,orbit,Pos Angle,dither,exposure set,obs date,obs time,exposure time
icdg11w4q_flt.fits,F160W,11,101.000504,0,3,2013-10-16,22:27:56,14.970785
icdg11w5q_flt.fits,F125W,11,101.000504,0,4,2013-10-16,22:28:35,29.663755
icdg11w6q_flt.fits,F125W,11,101.000504,0,4,2013-10-16,22:29:23,29.663755
icdg11w7q_flt.fits,F125W,11,101.000504,0,4,2013-10-16,22:30:11,29.663755
icdg11w8q_flt.fits,F125W,11,101.000504,0,4,2013-10-16,22:30:59,29.663755
icdg11w9q_flt.fits,F160W,11,101.000504,0,5,2013-10-16,22:31:53,14.970785
icdg11waq_flt.fits,F160W,11,101.000504,0,5,2013-10-16,22:32:26,14.970785
icdg11wbq_flt.fits,F160W,11,101.000504,0,5,2013-10-16,22:32:59,14.970785
icdg11wcq_flt.fits,F160W,11,101.000504,0,5,2013-10-16,22:33:32,14.970785
icdg11wdq_flt.fits,F160W,11,101.000504,0,5,2013-10-16,22:34:05,14.970785
icdg11weq_flt.fits,F125W,11,101.000504,0,6,2013-10-16,22:34:44,29.663755
icdg11wfq_flt.fits,F125W,11,101.000504,0,6,2013-10-16,22:35:32,29.663755
icdg11wgq_flt.fits,F125W,11,101.000504,0,6,2013-10-16,22:36:20,29.663755
icdg11whq_flt.fits,F125W,11,101.000504,0,6,2013-10-16,22:37:08,29.663755
icdg11wiq_flt.fits,F160W,11,101.000504,0,7,2013-10-16,22:38:02,14.970785
icdg11wjq_flt.fits,F160W,11,101.000504,0,7,2013-10-16,22:38:35,14.970785
icdg11wkq_flt.fits,F160W,11,101.000504,0,7,2013-10-16,22:39:08,14.970785
icdg11wlq_flt.fits,F160W,11,101.000504,0,7,2013-10-16,22:39:41,14.970785
icdg11wmq_flt.fits,F160W,11,101.000504,0,7,2013-10-16,22:40:14,14.970785
icdg11wnq_flt.fits,F125W,11,101.000504,0,8,2013-10-16,22:40:53,29.663755
icdg11woq_flt.fits,F125W,11,101.000504,0,8,2013-10-16,22:41:41,29.663755
icdg11wpq_flt.fits,F125W,11,101.000504,0,8,2013-10-16,22:42:29,29.663755
icdg11wqq_flt.fits,F125W,11,101.000504,0,8,2013-10-16,22:43:17,29.663755
icdg11wrq_flt.fits,F160W,11,101.000504,0,9,2013-10-16,22:44:11,14.970785
icdg11wsq_flt.fits,F160W,11,101.000504,0,9,2013-10-16,22:44:44,14.970785
icdg11wtq_flt.fits,F160W,11,101.000504,0,9,2013-10-16,22:45:17,14.970785
icdg11wuq_flt.fits,F160W,11,101.000504,0,9,2013-10-16,22:45:50,14.970785
icdg11wvq_flt.fits,F160W,11,101.000504,0,9,2013-10-16,22:46:23,14.970785
icdg11wwq_flt.fits,F125W,11,101.000504,0,10,2013-10-16,22:47:02,29.663755
icdg11wxq_flt.fits,F125W,11,101.000504,0,10,2013-10-16,22:47:50,29.663755
icdg11wyq_flt.fits,F125W,11,101.000504,0,10,2013-10-16,22:48:38,29.663755
icdg11wzq_flt.fits,F125W,11,101.000504,0,10,2013-10-16,22:49:26,29.663755
icdg11x0q_flt.fits,F160W,11,101.000504,0,11,2013-10-16,22:50:20,14.970785
icdg11x1q_flt.fits,F160W,11,101.000504,0,11,2013-10-16,22:50:53,14.970785
icdg11x2q_flt.fits,F160W,11,101.000504,0,11,2013-10-16,22:51:26,14.970785
icdg11x3q_flt.fits,F160W,11,101.000504,0,11,2013-10-16,22:51:59,14.970785
icdg11x4q_flt.fits,F160W,11,101.000504,0,11,2013-10-16,22:52:32,14.970785
icdg11x5q_flt.fits,F125W,11,101.000504,0,12,2013-10-16,22:53:11,29.663755
icdg11x6q_flt.fits,F125W,11,101.000504,0,12,2013-10-16,22:53:59,29.663755
icdg11x7q_flt.fits,F125W,11,101.000504,0,12,2013-10-16,22:54:47,29.663755
icdg11x8q_flt.fits,F125W,11,101.000504,0,12,2013-10-16,22:55:35,29.663755
icdg12xaq_flt.fits,F125W,12,129.000198,0,0,2013-10-16,23:51:55,29.663755
icdg12xbq_flt.fits,F125W,12,129.000198,0,0,2013-10-16,23:52:43,29.663755
icdg12xcq_flt.fits,F125W,12,129.000198,0,0,2013-10-16,23:53:31,29.663755
icdg12xdq_flt.fits,F125W,12,129.000198,0,0,2013-10-16,23:54:19,29.663755
