FILENAME,FILTER,ORBIT,POSANG,DITHER,EXPOSURE_SET,OBS_DATE,OBS_TIME,EXPOSURE_TIME,XOFF,YOFF,XCENTER,YCENTER,PSF_ID,PSF_AMPLITUTE,SKY_LEVEL,SKY_SIGMA,FLUX_FIT,X_FIT,Y_FIT,SKYY_FIT
icdg08rlq_noramp.fits,F160W,8,129.0,3,7,2013-10-16,17:52:58,14.970785,26.093582153320312,19.657989501953125,139.21080017089844,233.68023681640625,256.0,1.0075410604476929,-0.204624205827713,2.403980255126953,8614.673828125,13.237164497375488,13.58732795715332,0.6220685243606567
icdg08rmq_noramp.fits,F160W,8,129.0,3,7,2013-10-16,17:53:31,14.970785,26.094322204589844,19.658775329589844,139.21356201171875,233.67581176757812,13.0,1.0254459381103516,-0.2769666314125061,2.408482789993286,8564.2177734375,13.232160568237305,13.581061363220215,0.6783432364463806
icdg08rnq_noramp.fits,F160W,8,129.0,3,7,2013-10-16,17:54:04,14.970785,26.097984313964844,19.6512451171875,139.20404052734375,233.6793670654297,256.0,1.011595368385315,-0.24367371201515198,2.40887188911438,8581.3857421875,13.229283332824707,13.574809074401855,0.719365656375885
icdg08roq_noramp.fits,F160W,8,129.0,3,7,2013-10-16,17:54:37,14.970785,26.104957580566406,19.660873413085938,139.21163940429688,233.68460083007812,264.0,1.0128586292266846,-0.1783391237258911,2.4204201698303223,8570.62109375,13.23512077331543,13.58806037902832,0.9950594305992126
icdg08rpq_noramp.fits,F160W,8,129.0,3,7,2013-10-16,17:55:10,14.970785,26.09991455078125,19.657798767089844,139.21128845214844,233.6880340576172,256.0,1.009644627571106,-0.2681642174720764,2.452474355697632,8557.4375,13.239005088806152,13.576422691345215,0.37310487031936646
icdg08rqq_noramp.fits,F125W,8,129.0,2,8,2013-10-16,17:56:25,29.663755,15.971717834472656,19.6353759765625,129.15049743652344,233.52671813964844,253.0,1.0054432153701782,-0.2454536110162735,1.8058415651321411,8805.111328125,13.142735481262207,13.504843711853027,-0.48572808504104614
icdg08rrq_noramp.fits,F125W,8,129.0,2,8,2013-10-16,17:57:13,29.663755,15.963851928710938,19.646995544433594,129.14779663085938,233.52903747558594,253.0,1.0071344375610352,-0.26197001338005066,1.8204474449157715,8700.1787109375,13.143170356750488,13.506690979003906,-0.49561312794685364
icdg08rsq_noramp.fits,F125W,8,129.0,2,8,2013-10-16,17:58:01,29.663755,15.981864929199219,19.662551879882812,129.15098571777344,233.53005981445312,253.0,1.0082571506500244,-0.2441832423210144,1.8354356288909912,8771.578125,13.138940811157227,13.505010604858398,-0.6413332223892212
icdg08rtq_noramp.fits,F125W,8,129.0,2,8,2013-10-16,17:58:49,29.663755,15.961288452148438,19.653213500976562,129.1399688720703,233.52537536621094,253.0,1.0088326930999756,-0.2637452781200409,1.8084487915039062,8697.740234375,13.136259078979492,13.508148193359375,-0.4794432520866394
icdg08ruq_noramp.fits,F160W,8,129.0,2,9,2013-10-16,17:59:43,14.970785,16.001129150390625,19.748245239257812,129.10122680664062,233.7376708984375,7.0,1.025650143623352,-0.17849160730838776,2.4703543186187744,8321.912109375,13.096295356750488,13.607352256774902,0.9770539999008179
icdg08rvq_noramp.fits,F160W,8,129.0,2,9,2013-10-16,18:00:16,14.970785,15.996917724609375,19.716407775878906,129.09469604492188,233.72772216796875,7.0,1.0246682167053223,-0.2217414528131485,2.4615962505340576,8267.072265625,13.08484935760498,13.598318099975586,0.9825466275215149
